date,region,disease,cases,vaccinations
2024-01-01,North,Flu,38.0,91
2024-01-01,North,Malaria,62.0,102
2024-01-01,North,COVID,22.0,119
2024-01-01,South,Flu,32.0,72
2024-01-01,South,Malaria,53.0,40
2024-01-01,South,COVID,32.0,108
2024-01-01,East,Flu,36.0,61
2024-01-01,East,Malaria,53.0,81
2024-01-01,East,COVID,25.0,83
2024-01-01,West,Flu,39.0,26
2024-01-01,West,Malaria,51.0,23
2024-01-01,West,COVID,41.0,28
2024-01-01,Central,Flu,35.0,63
2024-01-01,Central,Malaria,60.0,97
2024-01-01,Central,COVID,28.0,23
2024-01-02,North,Flu,36.0,23
2024-01-02,North,Malaria,71.0,67
2024-01-02,North,COVID,27.0,81
2024-01-02,South,Flu,37.0,101
2024-01-02,South,Malaria,61.0,108
2024-01-02,South,COVID,26.0,60
2024-01-02,East,Flu,36.0,108
2024-01-02,East,Malaria,52.0,30
2024-01-02,East,COVID,25.0,54
2024-01-02,West,Flu,45.0,60
2024-01-02,West,Malaria,73.0,31
2024-01-02,West,COVID,27.0,42
2024-01-02,Central,Flu,43.0,63
2024-01-02,Central,Malaria,63.0,84
2024-01-02,Central,COVID,25.0,46
2024-01-03,North,Flu,40.0,61
2024-01-03,North,Malaria,59.0,115
2024-01-03,North,COVID,32.0,115
2024-01-03,South,Flu,44.0,34
2024-01-03,South,Malaria,66.0,51
2024-01-03,South,COVID,32.0,47
2024-01-03,East,Flu,42.0,47
2024-01-03,East,Malaria,53.0,81
2024-01-03,East,COVID,31.0,111
2024-01-03,West,Flu,37.0,20
2024-01-03,West,Malaria,53.0,96
2024-01-03,West,COVID,37.0,91
2024-01-03,Central,Flu,41.0,116
2024-01-03,Central,Malaria,49.0,98
2024-01-03,Central,COVID,24.0,107
2024-01-04,North,Flu,44.0,77
2024-01-04,North,Malaria,81.0,21
2024-01-04,North,COVID,34.0,75
2024-01-04,South,Flu,40.0,115
2024-01-04,South,Malaria,72.0,21
2024-01-04,South,COVID,30.0,89
2024-01-04,East,Flu,35.0,94
2024-01-04,East,Malaria,57.0,57
2024-01-04,East,COVID,28.0,89
2024-01-04,West,Flu,38.0,35
2024-01-04,West,Malaria,69.0,89
2024-01-04,West,COVID,33.0,78
2024-01-04,Central,Flu,34.0,38
2024-01-04,Central,Malaria,56.0,52
2024-01-04,Central,COVID,28.0,20
2024-01-05,North,Flu,43.0,69
2024-01-05,North,Malaria,54.0,109
2024-01-05,North,COVID,38.0,118
2024-01-05,South,Flu,44.0,39
2024-01-05,South,Malaria,71.0,43
2024-01-05,South,COVID,35.0,118
2024-01-05,East,Flu,38.0,44
2024-01-05,East,Malaria,61.0,99
2024-01-05,East,COVID,24.0,27
2024-01-05,West,Flu,48.0,52
2024-01-05,West,Malaria,61.0,105
2024-01-05,West,COVID,26.0,57
2024-01-05,Central,Flu,50.0,40
2024-01-05,Central,Malaria,60.0,83
2024-01-05,Central,COVID,37.0,67
2024-01-06,North,Flu,36.0,68
2024-01-06,North,Malaria,59.0,25
2024-01-06,North,COVID,28.0,43
2024-01-06,South,Flu,37.0,114
2024-01-06,South,Malaria,55.0,106
2024-01-06,South,COVID,26.0,37
2024-01-06,East,Flu,41.0,77
2024-01-06,East,Malaria,74.0,51
2024-01-06,East,COVID,33.0,46
2024-01-06,West,Flu,36.0,52
2024-01-06,West,Malaria,50.0,58
2024-01-06,West,COVID,26.0,118
2024-01-06,Central,Flu,35.0,79
2024-01-06,Central,Malaria,60.0,64
2024-01-06,Central,COVID,24.0,35
2024-01-07,North,Flu,39.0,70
2024-01-07,North,Malaria,59.0,41
2024-01-07,North,COVID,31.0,71
2024-01-07,South,Flu,24.0,79
2024-01-07,South,Malaria,56.0,79
2024-01-07,South,COVID,25.0,87
2024-01-07,East,Flu,47.0,113
2024-01-07,East,Malaria,61.0,71
2024-01-07,East,COVID,34.0,82
2024-01-07,West,Flu,39.0,109
2024-01-07,West,Malaria,69.0,20
2024-01-07,West,COVID,24.0,53
2024-01-07,Central,Flu,35.0,108
2024-01-07,Central,Malaria,64.0,35
2024-01-07,Central,COVID,30.0,88
2024-01-08,North,Flu,42.0,95
2024-01-08,North,Malaria,61.0,105
2024-01-08,North,COVID,17.0,81
2024-01-08,South,Flu,44.0,109
2024-01-08,South,Malaria,66.0,119
2024-01-08,South,COVID,24.0,42
2024-01-08,East,Flu,49.0,29
2024-01-08,East,Malaria,63.0,20
2024-01-08,East,COVID,31.0,35
2024-01-08,West,Flu,28.0,111
2024-01-08,West,Malaria,62.0,43
2024-01-08,West,COVID,33.0,52
2024-01-08,Central,Flu,39.0,31
2024-01-08,Central,Malaria,57.0,93
2024-01-08,Central,COVID,25.0,31
2024-01-09,North,Flu,30.0,54
2024-01-09,North,Malaria,56.0,112
2024-01-09,North,COVID,36.0,53
2024-01-09,South,Flu,35.0,77
2024-01-09,South,Malaria,65.0,48
2024-01-09,South,COVID,29.0,118
2024-01-09,East,Flu,38.0,43
2024-01-09,East,Malaria,70.0,31
2024-01-09,East,COVID,29.0,108
2024-01-09,West,Flu,35.0,81
2024-01-09,West,Malaria,60.0,32
2024-01-09,West,COVID,38.0,31
2024-01-09,Central,Flu,43.0,35
2024-01-09,Central,Malaria,59.0,44
2024-01-09,Central,COVID,31.0,72
2024-01-10,North,Flu,46.0,72
2024-01-10,North,Malaria,60.0,114
2024-01-10,North,COVID,31.0,95
2024-01-10,South,Flu,44.0,36
2024-01-10,South,Malaria,48.0,32
2024-01-10,South,COVID,25.0,46
2024-01-10,East,Flu,44.0,56
2024-01-10,East,Malaria,53.0,84
2024-01-10,East,COVID,38.0,90
2024-01-10,West,Flu,38.0,80
2024-01-10,West,Malaria,57.0,93
2024-01-10,West,COVID,39.0,86
2024-01-10,Central,Flu,35.0,77
2024-01-10,Central,Malaria,66.0,58
2024-01-10,Central,COVID,34.0,81
2024-01-11,North,Flu,,44
2024-01-11,North,Malaria,70.0,25
2024-01-11,North,COVID,31.0,99
2024-01-11,South,Flu,29.0,39
2024-01-11,South,Malaria,46.0,68
2024-01-11,South,COVID,33.0,73
2024-01-11,East,Flu,42.0,76
2024-01-11,East,Malaria,44.0,43
2024-01-11,East,COVID,32.0,111
2024-01-11,West,Flu,43.0,79
2024-01-11,West,Malaria,62.0,60
2024-01-11,West,COVID,26.0,82
2024-01-11,Central,Flu,41.0,103
2024-01-11,Central,Malaria,62.0,32
2024-01-11,Central,COVID,42.0,66
2024-01-12,North,Flu,51.0,49
2024-01-12,North,Malaria,70.0,52
2024-01-12,North,COVID,35.0,68
2024-01-12,South,Flu,38.0,108
2024-01-12,South,Malaria,69.0,118
2024-01-12,South,COVID,23.0,74
2024-01-12,East,Flu,48.0,114
2024-01-12,East,Malaria,62.0,93
2024-01-12,East,COVID,37.0,97
2024-01-12,West,Flu,34.0,64
2024-01-12,West,Malaria,62.0,51
2024-01-12,West,COVID,17.0,58
2024-01-12,Central,Flu,43.0,22
2024-01-12,Central,Malaria,60.0,73
2024-01-12,Central,COVID,46.0,76
2024-01-13,North,Flu,42.0,42
2024-01-13,North,Malaria,66.0,85
2024-01-13,North,COVID,32.0,98
2024-01-13,South,Flu,39.0,71
2024-01-13,South,Malaria,61.0,98
2024-01-13,South,COVID,28.0,70
2024-01-13,East,Flu,44.0,29
2024-01-13,East,Malaria,74.0,103
2024-01-13,East,COVID,30.0,62
2024-01-13,West,Flu,35.0,42
2024-01-13,West,Malaria,50.0,35
2024-01-13,West,COVID,32.0,75
2024-01-13,Central,Flu,38.0,46
2024-01-13,Central,Malaria,64.0,70
2024-01-13,Central,COVID,16.0,111
2024-01-14,North,Flu,37.0,89
2024-01-14,North,Malaria,49.0,109
2024-01-14,North,COVID,38.0,109
2024-01-14,South,Flu,44.0,66
2024-01-14,South,Malaria,63.0,113
2024-01-14,South,COVID,72.0,100
2024-01-14,East,Flu,108.0,118
2024-01-14,East,Malaria,156.0,75
2024-01-14,East,COVID,90.0,106
2024-01-14,West,Flu,123.0,45
2024-01-14,West,Malaria,117.0,26
2024-01-14,West,COVID,99.0,37
2024-01-14,Central,Flu,117.0,34
2024-01-14,Central,Malaria,144.0,47
2024-01-14,Central,COVID,75.0,63
2024-01-15,North,Flu,105.0,44
2024-01-15,North,Malaria,192.0,37
2024-01-15,North,COVID,63.0,53
2024-01-15,South,Flu,123.0,102
2024-01-15,South,Malaria,171.0,71
2024-01-15,South,COVID,96.0,75
2024-01-15,East,Flu,120.0,52
2024-01-15,East,Malaria,171.0,113
2024-01-15,East,COVID,72.0,114
2024-01-15,West,Flu,78.0,55
2024-01-15,West,Malaria,186.0,98
2024-01-15,West,COVID,36.0,70
2024-01-15,Central,Flu,47.0,94
2024-01-15,Central,Malaria,62.0,63
2024-01-15,Central,COVID,33.0,39
2024-01-16,North,Flu,35.0,109
2024-01-16,North,Malaria,66.0,30
2024-01-16,North,COVID,40.0,22
2024-01-16,South,Flu,26.0,29
2024-01-16,South,Malaria,61.0,21
2024-01-16,South,COVID,27.0,84
2024-01-16,East,Flu,32.0,28
2024-01-16,East,Malaria,62.0,54
2024-01-16,East,COVID,23.0,28
2024-01-16,West,Flu,34.0,20
2024-01-16,West,Malaria,66.0,83
2024-01-16,West,COVID,34.0,54
2024-01-16,Central,Flu,33.0,97
2024-01-16,Central,Malaria,60.0,61
2024-01-16,Central,COVID,28.0,58
2024-01-17,North,Flu,42.0,82
2024-01-17,North,Malaria,60.0,116
2024-01-17,North,COVID,28.0,72
2024-01-17,South,Flu,50.0,70
2024-01-17,South,Malaria,58.0,70
2024-01-17,South,COVID,27.0,34
2024-01-17,East,Flu,49.0,113
2024-01-17,East,Malaria,71.0,57
2024-01-17,East,COVID,34.0,46
2024-01-17,West,Flu,45.0,105
2024-01-17,West,Malaria,65.0,93
2024-01-17,West,COVID,27.0,50
2024-01-17,Central,Flu,38.0,71
2024-01-17,Central,Malaria,58.0,24
2024-01-17,Central,COVID,30.0,64
2024-01-18,North,Flu,44.0,55
2024-01-18,North,Malaria,61.0,88
2024-01-18,North,COVID,27.0,42
2024-01-18,South,Flu,39.0,31
2024-01-18,South,Malaria,73.0,101
2024-01-18,South,COVID,32.0,79
2024-01-18,East,Flu,42.0,87
2024-01-18,East,Malaria,67.0,111
2024-01-18,East,COVID,28.0,70
2024-01-18,West,Flu,51.0,65
2024-01-18,West,Malaria,53.0,55
2024-01-18,West,COVID,23.0,82
2024-01-18,Central,Flu,36.0,34
2024-01-18,Central,Malaria,58.0,28
2024-01-18,Central,COVID,25.0,45
2024-01-19,North,Flu,37.0,44
2024-01-19,North,Malaria,59.0,110
2024-01-19,North,COVID,29.0,70
2024-01-19,South,Flu,35.0,71
2024-01-19,South,Malaria,58.0,68
2024-01-19,South,COVID,35.0,45
2024-01-19,East,Flu,32.0,111
2024-01-19,East,Malaria,61.0,90
2024-01-19,East,COVID,31.0,106
2024-01-19,West,Flu,39.0,81
2024-01-19,West,Malaria,53.0,64
2024-01-19,West,COVID,28.0,38
2024-01-19,Central,Flu,28.0,66
2024-01-19,Central,Malaria,61.0,113
2024-01-19,Central,COVID,31.0,20
2024-01-20,North,Flu,37.0,22
2024-01-20,North,Malaria,57.0,53
2024-01-20,North,COVID,28.0,111
2024-01-20,South,Flu,38.0,86
2024-01-20,South,Malaria,53.0,91
